x,y,z
4.78,8.13,6.35
7.07,6.78,6.95
7.29,6.86,7.51
6.11,6.23,7.24
7.25,6.2,5.73
6.33,6.66,8.18
7.82,6.13,6.88
7.34,6.43,6.56
6.73,7.86,7.63
5.64,6.71,7.46
4.65,6.63,8.46
6.31,7.69,7.03
7.41,6.18,7.23
7.0,4.8,7.8
7.7,6.44,7.67
7.04,6.92,7.75
4.14,6.42,6.74
5.44,7.06,10.3
7.18,6.08,7.53
7.68,5.37,6.31
7.23,6.9,5.7
6.45,7.28,7.7
7.6,9.45,6.04
7.66,7.58,6.2
7.6,6.36,7.68
7.6,5.55,6.58
6.71,7.75,8.5
4.88,6.63,7.25
7.34,7.9,8.12
5.69,5.46,8.5
6.58,8.03,7.88
8.29,5.84,6.44
6.56,8.47,8.21
6.85,9.74,6.72
7.4,8.3,6.16
5.54,5.91,6.7
6.13,8.91,8.13
6.8,6.85,7.45
8.84,6.79,7.82
7.34,6.6,5.16
7.04,7.07,5.93
7.38,7.22,8.19
9.87,7.25,6.6
5.03,7.12,8.74
6.68,5.94,7.78
8.17,6.45,5.77
6.63,6.86,6.95
7.19,4.77,6.88
8.19,8.1,6.13
8.16,6.73,6.22
8.39,6.55,7.33
7.08,7.28,6.74
7.2,6.65,5.13
8.09,6.95,5.03
7.48,7.61,9.82
6.83,5.67,6.83
7.04,5.69,5.79
7.46,6.73,6.49
7.26,8.42,9.38
5.61,6.19,6.03
7.17,7.37,8.91
5.01,8.02,5.57
7.34,6.2,6.42
6.69,6.83,4.98
4.79,7.67,6.88
7.23,6.0,6.73
8.15,8.56,5.69
6.54,6.98,7.37
8.46,6.38,6.34
6.26,8.17,7.17
7.19,7.99,7.0
6.08,7.17,7.22
7.13,5.15,9.24
5.91,5.75,5.59
7.28,6.84,7.61
7.63,5.98,5.65
6.58,6.96,5.75
7.62,6.23,7.82
6.61,6.75,6.52
5.94,6.86,8.36
7.23,6.63,6.43
7.43,4.5,6.46
7.21,7.52,6.96
5.56,7.17,7.78
7.79,5.2,7.39
7.86,5.7,7.06
6.51,6.95,8.38
7.54,6.36,7.27
7.9,7.32,9.13
7.4,7.34,8.24
7.93,7.35,7.0
7.54,8.07,7.68
7.59,6.73,7.61
6.53,6.83,6.91
5.94,9.52,8.12
7.85,5.63,6.17
8.6,7.38,6.81
8.55,8.47,5.33
