x,y,z
10.8,9.76,9.6
9.93,10.5,9.59
11.9,9.9,9.92
11.4,10.8,12.2
12.3,12.5,9.45
9.84,9.5,9.02
10.3,11.1,10.2
10.0,8.27,10.6
9.34,9.53,10.9
10.0,8.18,10.6
9.81,10.3,9.82
9.5,10.4,10.5
9.05,9.71,9.9
9.86,9.19,8.67
9.65,10.6,9.24
8.91,10.6,9.16
10.0,12.0,9.25
9.99,9.44,9.59
10.0,8.7,10.0
8.35,10.4,8.31
10.9,9.64,9.12
11.6,10.6,9.24
11.6,10.5,11.7
11.0,11.1,9.77
8.82,9.54,10.6
9.27,9.84,8.91
11.2,7.89,8.45
12.6,10.2,9.87
10.8,9.92,9.8
8.77,12.4,10.3
10.5,10.7,7.87
10.4,8.35,9.78
12.2,10.7,9.46
10.2,9.47,10.6
10.3,11.2,11.3
10.4,11.0,7.89
10.1,8.12,10.3
10.1,10.0,10.4
9.34,10.7,11.8
9.77,9.89,9.99
11.4,7.79,10.7
10.9,10.1,11.2
9.57,9.39,10.0
9.78,9.89,8.97
8.29,10.7,8.32
9.66,10.6,10.4
10.1,11.3,9.71
11.2,11.5,9.68
10.7,9.03,9.68
9.34,10.4,9.5
10.8,12.0,9.47
8.16,10.3,11.2
9.36,8.71,8.38
10.2,10.8,9.2
10.9,10.1,10.6
9.02,10.4,10.5
9.26,9.54,10.5
8.77,7.5,9.72
11.2,9.03,10.2
10.0,10.1,10.4
11.1,9.18,9.99
11.6,10.6,9.7
9.68,9.67,9.23
8.75,9.72,10.3
10.6,9.8,12.4
8.26,8.3,10.0
9.46,10.1,9.66
9.32,8.74,10.8
9.33,10.2,9.53
11.6,10.9,10.6
11.0,11.2,9.37
11.6,10.3,11.5
12.2,9.77,11.2
10.1,10.3,10.9
10.3,8.2,9.69
10.9,10.6,10.2
10.2,10.9,10.6
11.2,9.85,9.23
10.5,9.42,10.6
9.9,9.97,11.0
9.78,11.3,9.18
9.03,9.78,10.4
8.8,10.3,9.82
10.8,9.43,8.64
8.92,10.7,8.95
10.5,9.68,11.9
10.8,9.6,10.1
10.5,9.74,9.94
11.2,10.4,10.7
7.85,10.2,8.74
10.3,9.7,10.2
10.5,9.35,10.1
10.6,9.4,8.68
8.98,10.5,9.36
9.47,10.9,9.58
8.46,10.2,13.3
9.48,7.81,10.2
8.47,9.43,10.2
11.2,11.4,10.9
11.3,9.93,10.7
