x,y
0.0922,-0.812
0.262,-0.457
0.741,-0.214
0.842,0.0822
0.887,-2.0
1.1,0.219
1.32,1.1
1.42,-0.0732
1.48,-0.988
1.63,-0.457
1.64,-0.208
1.66,0.493
1.7,1.01
1.79,1.16
1.79,1.21
1.9,-0.488
2.14,1.03
2.45,1.53
2.57,0.529
2.66,0.953
2.68,1.13
2.8,1.09
2.92,0.124
3.08,-0.314
3.11,1.63
3.17,3.03
3.23,0.0245
3.47,1.65
3.55,-0.969
3.7,-2.02
3.74,1.3
3.76,2.33
3.83,3.32
3.83,-0.0631
3.85,2.48
3.87,0.187
3.88,-0.0465
4.05,1.83
4.35,2.62
4.41,2.32
4.41,-1.45
4.81,-0.637
4.96,1.41
5.11,1.96
5.27,2.27
5.95,0.899
6.41,1.14
6.67,1.81
