x,y,z
7.07,6.78,6.95
7.29,6.86,7.51
7.25,6.2,5.73
7.82,6.13,6.88
7.34,6.43,6.56
7.41,6.18,7.23
7.0,4.8,7.8
7.7,6.44,7.67
7.18,6.08,7.53
7.68,5.37,6.31
7.23,6.9,5.7
7.6,9.45,6.04
7.66,7.58,6.2
7.6,6.36,7.68
7.6,5.55,6.58
8.29,5.84,6.44
7.4,8.3,6.16
8.84,6.79,7.82
7.34,6.6,5.16
7.04,7.07,5.93
9.87,7.25,6.6
8.17,6.45,5.77
7.19,4.77,6.88
8.19,8.1,6.13
8.16,6.73,6.22
8.39,6.55,7.33
7.08,7.28,6.74
7.2,6.65,5.13
8.09,6.95,5.03
6.83,5.67,6.83
10.2,7.52,7.76
7.04,5.69,5.79
7.46,6.73,6.49
5.61,6.19,6.03
7.34,6.2,6.42
6.69,6.83,4.98
7.23,6.0,6.73
8.15,8.56,5.69
8.46,6.38,6.34
5.91,5.75,5.59
7.63,5.98,5.65
6.58,6.96,5.75
7.62,6.23,7.82
6.61,6.75,6.52
7.23,6.63,6.43
7.43,4.5,6.46
7.21,7.52,6.96
7.79,5.2,7.39
7.86,5.7,7.06
7.54,6.36,7.27
7.93,7.35,7.0
7.59,6.73,7.61
7.85,5.63,6.17
8.6,7.38,6.81
8.55,8.47,5.33
