x,y
-2.33,1.93
-2.28,4.62
-1.33,3.1
-1.05,-0.473
-0.884,4.33
-0.681,0.888
-0.571,3.58
-0.5,0.584
-0.426,-0.136
-0.19,0.555
0.00789,3.05
0.0224,1.25
0.0518,1.86
0.0811,4.41
0.103,2.18
0.131,3.12
0.17,2.96
0.181,2.19
0.197,2.98
0.313,1.53
0.328,4.83
0.35,1.21
0.4,4.59
0.45,2.12
0.468,5.61
0.494,0.71
0.68,2.37
0.803,3.26
0.942,2.42
0.97,3.69
1.13,5.81
1.17,2.6
1.28,3.51
1.3,3.3
1.31,1.31
1.35,3.75
1.46,4.17
1.83,4.8
1.84,4.26
1.9,3.1
2.14,3.57
2.18,3.09
2.23,4.78
2.25,4.13
2.32,2.53
2.36,4.26
2.58,3.51
2.6,3.3
2.82,3.58
3.59,4.1
