x,y,z
4.78,8.13,6.35
6.11,6.23,7.24
6.33,6.66,8.18
6.73,7.86,7.63
5.64,6.71,7.46
4.65,6.63,8.46
6.31,7.69,7.03
7.04,6.92,7.75
4.14,6.42,6.74
5.44,7.06,10.3
6.45,7.28,7.7
6.71,7.75,8.5
4.88,6.63,7.25
7.34,7.9,8.12
5.69,5.46,8.5
6.58,8.03,7.88
6.56,8.47,8.21
6.85,9.74,6.72
5.54,5.91,6.7
6.13,8.91,8.13
6.8,6.85,7.45
7.38,7.22,8.19
5.03,7.12,8.74
6.68,5.94,7.78
6.63,6.86,6.95
7.48,7.61,9.82
7.26,8.42,9.38
7.17,7.37,8.91
5.01,8.02,5.57
4.79,7.67,6.88
6.54,6.98,7.37
6.26,8.17,7.17
7.19,7.99,7.0
6.08,7.17,7.22
7.13,5.15,9.24
7.28,6.84,7.61
5.94,6.86,8.36
5.56,7.17,7.78
6.51,6.95,8.38
7.9,7.32,9.13
7.4,7.34,8.24
7.54,8.07,7.68
6.53,6.83,6.91
5.94,9.52,8.12
