x,y
3.44,6.56
3.61,6.57
4.03,8.18
4.25,7.2
4.42,7.8
4.43,4.1
4.46,7.47
4.58,4.88
4.64,5.51
4.73,5.69
4.82,5.92
4.87,7.54
4.88,5.25
4.9,7.06
5.06,6.53
5.1,6.14
5.21,6.46
5.27,6.45
5.29,6.75
5.32,6.19
5.33,5.74
5.33,5.67
5.35,5.94
5.36,7.74
5.37,7.87
5.37,4.4
5.38,7.38
5.41,5.22
5.42,7.34
5.46,5.2
5.5,6.46
5.53,5.7
5.56,3.94
5.59,5.87
5.63,4.35
5.65,5.76
5.66,3.64
5.66,6.76
5.67,7.39
5.69,5.87
5.7,5.32
5.71,8.57
5.84,5.69
5.85,6.92
5.9,5.7
5.93,7.48
5.93,6.96
5.98,5.85
6.06,6.31
6.07,5.69
6.11,5.66
6.13,4.64
6.17,5.67
6.22,7.15
6.23,6.97
6.32,6.35
6.33,7.6
6.33,4.89
6.37,7.34
6.42,7.77
6.42,6.5
6.44,5.78
6.46,4.69
6.49,5.65
6.51,8.29
6.55,3.43
6.56,5.86
6.58,4.55
6.59,8.22
6.61,5.03
6.62,5.43
6.63,5.76
6.64,4.62
6.65,6.95
6.65,4.98
6.68,6.86
6.7,5.2
6.72,6.84
6.73,5.39
6.73,5.47
6.76,4.82
6.81,6.03
6.85,6.94
6.91,7.15
6.92,6.47
7.0,8.27
7.11,6.38
7.11,7.49
7.15,6.28
7.23,6.38
7.28,5.95
7.36,5.1
7.38,6.18
7.46,6.32
7.93,4.73
7.95,6.21
8.24,4.95
8.28,6.0
8.67,5.68
8.82,6.51
