x,y,z
7.07,7.32,6.67
5.42,6.74,6.83
5.9,7.15,6.88
5.41,5.63,6.51
3.94,5.01,6.1
5.77,6.57,5.59
6.52,7.96,5.53
6.86,7.91,6.96
4.54,5.84,7.19
4.09,6.03,6.02
5.26,7.47,6.09
6.4,6.51,7.05
6.58,6.06,6.72
4.92,5.96,6.64
6.42,4.87,6.52
6.48,7.08,7.41
5.66,4.37,6.84
6.44,4.98,6.45
5.63,7.09,5.73
5.63,6.61,6.02
4.54,7.07,7.19
6.72,6.2,6.75
5.76,6.08,5.76
6.15,4.6,7.78
4.91,5.94,5.77
5.85,5.93,7.08
5.66,6.83,5.89
3.43,4.48,6.57
4.91,7.03,7.96
5.24,6.83,6.04
4.88,7.61,5.29
4.96,6.48,7.03
6.09,5.97,6.37
5.16,5.05,6.18
4.82,6.23,5.31
5.94,6.41,7.2
6.09,6.43,7.21
4.34,4.92,6.05
6.76,6.71,5.9
4.66,5.88,7.36
6.71,7.79,6.51
5.86,5.09,7.32
5.88,5.4,6.11
4.38,7.49,5.11
4.7,6.46,5.76
4.28,7.39,5.71
6.36,5.94,6.43
6.2,6.91,7.01
5.4,5.43,6.52
6.74,6.22,6.43
6.26,6.78,6.26
5.57,7.09,7.97
4.26,5.95,6.24
5.79,4.6,7.19
6.48,6.26,5.86
6.53,6.74,5.75
6.5,4.36,7.2
6.68,5.9,6.33
