x,y
-0.271769538,0.157434081
-0.144941751,0.2324423
-0.124933563,0.431740998
-0.115762307,0.339525492
-0.110369875,0.479524332
-0.10241308,0.384712743
-0.095857342,0.404574032
-0.087517762,0.05759671
-0.086947313,0.377059763
-0.086225914,0.43328972
-0.078979401,0.208117865
-0.076819466,0.420417284
-0.059449932,0.418432824
-0.058446845,0.01461189
-0.055025472,0.450027008
-0.051179983,0.392883288
-0.050224816,0.261124055
-0.041440269,0.462320976
-0.029549646,0.241859038
-0.028790251,0.254674191
-0.024443375,0.062637648
-0.023007629,0.505791909
-0.019526893,0.238527152
-0.015749557,0.008856954
-0.012096189,-0.058796195
-0.010638915,0.401108451
-0.007897312,0.499836098
-0.003214494,0.275032647
0.003142944,0.460465008
0.005507343,0.123478195
0.013826023,0.36497055
0.018751623,0.315423068
0.019450765,0.545776014
0.023233584,-0.017534934
0.024978168,0.267806082
0.027604449,0.294248326
0.028439595,0.393916958
0.030300519,0.182481753
0.031803718,0.421103327
0.032078512,0.343707114
0.036116255,0.021442036
0.03880948,0.080560981
0.039273763,-0.073597831
0.044860729,0.055722732
0.045477075,0.205027702
0.046970314,-0.362269791
0.049460705,0.249734625
0.051818985,-0.146529571
0.056140712,0.084200644
0.062409411,0.331031568
0.062819512,0.177533756
0.071284393,0.220819631
0.07251794,0.048104859
0.076391587,0.160109428
0.078257422,0.303243601
0.078707092,0.274335926
0.08428115,0.290827825
0.086317214,0.061270144
0.088338135,-0.021323367
0.091329253,-0.201761125
0.093309818,0.181190567
0.094211692,-0.049835715
0.095042391,0.058631284
0.09579354,0.333904325
0.097791234,0.225088334
0.098580686,0.033735653
0.100166206,-0.074963642
0.104313455,0.219165855
0.105056474,0.186052541
0.105774829,0.300278032
0.107124662,-0.12766419
0.109911122,-0.07372795
0.112454919,0.00422394
0.112457376,0.008086342
0.114470363,-0.14609902
0.114604639,0.533641515
0.116764283,0.111931
0.119674688,0.367070036
0.120726597,-0.185637366
0.123711057,-0.169326758
0.127997978,0.140328712
0.128338865,0.162825047
0.130632751,-0.256313443
0.132935758,-0.030312761
0.137195615,0.094203169
0.150249696,-0.302154175
0.160853395,-0.14715723
0.162541898,0.107260065
0.163586401,0.060754811
0.16673168,-0.111779483
0.17390568,0.384906991
0.179109013,-0.198770774
0.187378929,-0.186917804
0.193024957,-0.114309252
0.197195024,-0.001035234
0.19821641,-0.151839543
0.199645293,0.073677154
0.200379161,-0.230235281
0.201141202,0.478143835
0.209276583,0.162764504
0.209479909,-0.252078226
0.210683904,0.07951524
0.219127648,0.270144411
0.219952472,-0.015037792
0.221580736,0.243772293
0.22291231,0.202755604
0.228817385,-0.229402598
0.23089425,-0.153556803
0.232528484,-0.025384545
0.232593943,-0.212057705
0.239595928,-0.01377536
0.248643245,-0.056267436
0.251333789,-0.009285209
0.255474843,0.076706484
0.260623769,-0.02185116
0.263994036,0.012760522
0.275799106,-0.090599204
0.301229044,0.244097926
0.302662082,-0.107723269
0.308470451,-0.163590733
0.316582575,-0.13556643
0.32817096,0.24642125
0.33030205,-0.119101276
0.331232276,-0.158787104
0.339142102,-0.178656547
0.344115385,-0.172594176
0.34907207,0.094625486
0.381558108,-0.041191649
0.469704363,-0.048486927
