x,y
4.57,7.83
4.9,6.24
5.23,7.99
5.28,6.42
5.4,7.77
5.52,7.55
5.54,8.0
5.62,7.07
5.63,7.84
5.65,7.22
5.71,7.65
5.75,7.07
5.79,7.04
5.91,6.1
5.99,7.02
6.0,7.27
6.02,7.28
6.03,6.04
6.06,7.33
6.07,6.44
6.07,6.83
6.08,4.6
6.13,6.11
6.13,6.75
6.19,7.22
6.19,7.25
6.19,7.18
6.31,7.57
6.35,5.62
6.36,5.42
6.41,5.98
6.45,6.05
6.45,7.41
6.46,7.5
6.47,7.78
6.48,6.59
6.49,5.44
6.49,6.68
6.51,7.6
6.53,6.64
6.65,7.4
6.67,7.11
6.73,6.73
6.76,8.55
6.78,7.88
6.79,5.58
6.8,5.64
6.85,8.47
6.86,7.05
6.86,8.2
6.87,7.37
6.9,8.67
6.92,5.73
6.96,5.94
7.01,4.95
7.04,6.72
7.06,8.16
7.07,5.15
7.09,8.77
7.15,6.18
7.19,8.29
7.2,7.29
7.24,8.12
7.25,6.27
7.26,6.87
7.27,6.41
7.27,6.72
7.3,7.29
7.31,6.2
7.31,9.8
7.34,6.76
7.35,6.95
7.36,6.02
7.38,6.25
7.46,5.07
7.46,7.83
7.48,7.82
7.5,9.13
7.56,8.41
7.56,10.2
7.59,5.71
7.59,6.67
7.62,7.39
7.63,5.96
7.64,7.84
7.65,6.85
7.72,8.37
7.79,6.74
7.85,7.15
7.87,8.07
7.97,7.45
8.0,7.56
8.0,7.93
8.04,11.0
8.08,7.54
8.18,10.3
8.23,9.7
8.28,7.01
8.31,9.69
8.31,5.1
8.42,6.88
8.46,7.93
8.5,8.81
8.55,11.6
8.66,7.05
8.69,7.77
8.71,10.9
8.72,11.4
8.79,10.4
8.83,9.63
8.86,13.0
8.86,10.4
8.9,9.35
8.96,9.44
9.08,10.1
9.09,10.6
9.12,11.8
9.2,11.2
9.23,10.6
9.27,7.33
9.29,6.48
9.31,8.7
9.31,10.1
9.35,10.4
9.38,10.2
9.41,8.9
9.42,10.1
9.42,9.92
9.43,11.1
9.45,10.3
9.48,9.45
9.51,10.4
9.54,9.62
9.59,9.95
9.6,9.02
9.63,8.63
9.63,9.93
9.66,8.78
9.66,11.6
9.68,11.5
9.69,9.84
9.7,9.75
9.73,9.91
9.74,10.8
9.75,11.6
9.76,8.92
9.76,8.7
9.77,9.26
9.8,10.7
9.85,11.1
9.88,10.2
9.97,10.9
9.99,9.59
10.0,9.16
10.1,9.33
10.1,11.3
10.1,10.7
10.1,9.77
10.1,10.4
10.1,11.0
10.1,8.64
10.2,9.5
10.2,9.61
10.2,9.64
10.3,10.9
10.4,9.3
10.4,11.4
10.4,9.06
10.4,10.7
10.5,11.6
10.5,11.5
10.5,11.4
10.5,9.71
10.7,10.1
10.7,9.86
10.7,10.6
10.8,11.4
10.8,11.3
10.8,8.44
10.8,11.1
11.0,11.0
11.0,9.31
11.0,9.24
11.0,11.4
11.0,9.17
11.0,11.2
11.1,9.46
11.5,9.7
11.5,10.1
11.5,10.5
11.5,11.3
11.7,9.37
11.7,12.5
11.8,9.59
11.8,10.2
12.0,11.6
12.0,9.31
12.1,9.71
12.1,9.78
12.3,9.59
