x,y
-0.919511851,0.734435294
-0.883303384,0.765061544
-0.854324074,0.607081204
-0.835870823,0.612416346
-0.833009782,0.635109379
-0.819027906,0.649559911
-0.81553219,0.772230674
-0.812206711,0.599599168
-0.80378462,0.571801859
-0.801136958,0.708265905
-0.800293906,0.637130193
-0.799441592,0.773468792
-0.792141697,0.71327118
-0.787520465,0.628328814
-0.787130692,0.748262082
-0.786990251,0.68701432
-0.786466222,0.568637716
-0.785402576,0.608585306
-0.778706283,0.610509115
-0.771089836,0.569496046
-0.768404595,0.743905151
-0.767336032,0.551404714
-0.766099741,0.818386668
-0.761424062,0.601738925
-0.734764438,0.589079411
-0.733842197,0.566119426
-0.733286845,0.743282286
-0.712485459,0.714285066
-0.68818744,0.751263217
-0.682991856,0.738231028
-0.677589287,0.693644167
-0.672677125,0.679037126
-0.664288251,0.724235774
-0.662723999,0.743226509
-0.656908798,0.799041771
-0.654550412,0.757315309
-0.653594316,0.774051635
-0.653447902,0.726210859
-0.640855778,0.783600768
-0.636857221,0.666960152
-0.635655336,0.796762049
-0.627228255,0.92538615
-0.619529474,0.798405045
-0.613424049,0.797946868
-0.612178219,0.680003724
-0.61115506,0.820444413
-0.610308586,0.646659887
-0.610298242,0.770461035
-0.60219588,0.730879251
-0.597833354,0.820026744
-0.593091028,0.998511004
-0.591500695,0.780093878
-0.586755598,0.712911842
-0.58602153,0.822924429
-0.579457011,0.837017195
-0.57837086,0.826852849
-0.570415962,0.957500538
-0.568146259,0.857647083
-0.561954741,0.755352683
-0.559994154,0.864947368
-0.550413406,0.863190821
-0.540316262,0.764100034
-0.538811255,0.894813019
-0.534814085,0.826461463
-0.525676009,0.932666524
-0.52349321,0.901123896
-0.510010455,0.674168283
-0.506727523,0.877699174
-0.506145833,0.919376107
-0.500695423,0.926977935
-0.495647834,0.687782661
-0.484705867,0.905854515
-0.484223495,0.850244141
-0.4756918,0.822049345
-0.474682543,0.990856131
-0.474091238,0.847054082
-0.471426255,0.927032428
-0.46400225,0.866090442
-0.459969109,0.9124838
-0.459181873,0.854367688
-0.45752086,0.917743715
-0.438101055,0.941387243
-0.433107466,0.828061101
-0.432542015,0.90632433
-0.424711657,0.790473661
-0.423838394,0.97290212
-0.421749199,0.827406538
-0.405969996,0.919940837
-0.391603583,0.739387493
-0.388281056,0.913408037
-0.382602216,0.938433777
-0.373548562,0.871997304
-0.361093851,0.880112217
-0.349187197,0.849006533
-0.34424622,0.87252964
